order_id,user_id,restaurant_id,location,cuisine,order_time,items_count,order_value,payment_method,delivery_time_minutes,rating,is_repeat_customer
1,8270,318,Bangalore,Cafe,16-01-2024 12:47,5,333.92,UPI,44,2,0
2,1860,612,Kolkata,North Indian,26-01-2024 16:02,4,236.49,UPI,25,3,0
3,6390,498,Mumbai,Chinese,12-01-2024 00:53,5,777.94,NetBanking,33,1,0
4,6191,210,Ahmedabad,North Indian,16-01-2024 13:36,5,816.93,UPI,32,5,0
5,6734,563,Mumbai,North Indian,25-01-2024 14:56,3,165.64,NetBanking,19,2,0
6,7265,888,Kolkata,Italian,27-01-2024 08:53,7,950.19,Card,52,3,1
7,1466,740,Mumbai,Italian,13-01-2024 02:08,6,766.77,UPI,33,3,0
8,5426,192,Delhi,Bakery,03-01-2024 15:07,1,536.77,Card,34,3,0
9,6578,550,Kolkata,Cafe,14-01-2024 07:09,2,1181.5,UPI,16,3,1
10,9322,495,Delhi,South Indian,24-01-2024 23:59,2,111.22,NetBanking,33,1,1
11,2685,991,Kolkata,South Indian,09-01-2024 16:46,3,699.34,Cash,51,3,0
12,1769,650,Hyderabad,South Indian,02-01-2024 11:19,1,275.67,UPI,25,4,1
13,7949,578,Hyderabad,Bakery,05-01-2024 18:02,7,462.27,Cash,27,4,1
14,3433,415,Bangalore,Italian,01-01-2024 08:19,5,246.52,NetBanking,34,4,0
15,6311,770,Mumbai,Italian,13-01-2024 08:28,6,835.04,NetBanking,16,3,1
16,6051,797,Ahmedabad,North Indian,30-01-2024 05:42,7,541.73,Cash,23,4,1
17,7420,452,Hyderabad,Fast Food,25-01-2024 04:19,3,1184.93,UPI,21,1,0
18,2184,867,Mumbai,Italian,19-01-2024 16:50,5,819.23,Card,18,3,0
19,5555,338,Bangalore,Bakery,23-01-2024 02:03,2,1109.07,Card,16,,0
20,4385,203,Delhi,Mughlai,15-01-2024 02:35,3,364.91,NetBanking,37,,0
21,7396,977,Hyderabad,Mughlai,08-01-2024 11:40,6,450.66,NetBanking,15,4,0
22,9666,128,Ahmedabad,Fast Food,17-01-2024 01:55,3,498.95,NetBanking,19,3,0
23,3558,188,Chennai,Italian,07-01-2024 14:51,3,1022.37,Card,46,2,1
24,8849,474,Ahmedabad,Bakery,15-01-2024 09:26,7,332.84,NetBanking,33,3,0
25,3047,496,Chennai,Italian,22-01-2024 05:59,2,1141.39,NetBanking,45,4,0
26,3747,662,Chennai,Chinese,24-01-2024 20:53,6,147.94,NetBanking,18,5,0
27,1189,463,Pune,Fast Food,06-01-2024 12:25,2,1078.84,Cash,21,5,1
28,3734,246,Chennai,Cafe,07-01-2024 01:57,4,596.56,NetBanking,46,2,0
29,4005,413,Chennai,Mughlai,07-01-2024 11:59,6,678.49,Card,47,4,0
30,5658,647,Chennai,Mughlai,06-01-2024 17:50,2,1197.14,Cash,20,4,1
31,2899,895,Chennai,Cafe,08-01-2024 03:09,6,1057.05,UPI,48,4,0
32,8734,551,Hyderabad,Chinese,06-01-2024 20:11,2,1094.42,Card,29,,1
33,2267,998,Chennai,North Indian,11-01-2024 07:56,5,744.09,NetBanking,42,2,1
34,2528,605,Ahmedabad,Chinese,14-01-2024 12:27,2,1151.98,UPI,30,3,1
35,4556,585,Kolkata,Chinese,29-01-2024 07:21,6,856.59,UPI,35,1,0
36,4890,200,Kolkata,Bakery,19-01-2024 05:26,1,1001.26,Cash,36,4,1
37,9838,206,Chennai,Cafe,02-01-2024 01:08,5,893.03,NetBanking,47,4,0
38,6393,956,Pune,North Indian,08-01-2024 06:42,6,959.01,Cash,49,1,0
